Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
PG 30:1,0.5640350733066997,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-6.489946161326268,3.448383839560759,0.00478,2.3205721033878812,Increased,PG
PG 31:0,-1.6783739499407753,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,16.61285284548634,3.3195066587214725,2.6e-4,3.5850266520291822,Decreased,PG
PG 31:1,-0.5348297118132394,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,15.466048825536607,3.245837770343444,3.76e-4,3.424812155072339,Decreased,PG
PG 32:0,-0.11435928494003425,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.539629708993365,2.067820487042261,0.26,0.585026652029182,p>0.051,NA
PG 32:1,0.10876881234737297,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.9221041298884518,3.82264674390687,0.13,0.8860566476931632,p>0.051,NA
PG 37:2,-0.731889747975747,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,7.876930094471837,3.6692796263664835,0.00199,2.701146923590293,Decreased,PG
PMeOH 14:0_16:0,-0.38550073048637,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.8908248455131463,3.7986595704204418,0.426,0.37059040089728107,p>0.051,NA
PMeOH 16:0_16:0,-0.4830959104545636,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.7428734225701158,2.0954152394027052,0.532,0.2740883677049518,p>0.051,NA
PMeOH 16:0_16:1,0.029864403521893408,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.09426608402161646,3.913836568880348,0.93,0.03151705144606486,p>0.051,NA
PMeOH 16:0_17:1,-0.222868060307492,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.581282279478812,2.899786501703084,0.603,0.2196826878598487,p>0.051,NA
PMeOH 16:0_18:1,1.4982387117342706,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.9625465993740614,2.597552023783668,0.159,0.7986028756795485,p>0.051,NA
PMeOH 16:1_17:1,0.2280435120481501,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.6389650386806484,3.7483716388828574,0.56,0.25181197299379954,p>0.051,NA
PMeOH 16:1_18:1,0.014412209045985008,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.04272307635371029,3.905003830650009,0.968,0.014124642691606345,p>0.051,NA
PMeOH 17:1_18:1,0.8501766436962592,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.5831729557118894,3.480916007900376,0.199,0.7011469235902933,p>0.051,NA
PMeOH 18:1_18:1,-0.12985278362512268,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.5642912795189087,2.0512496344048823,0.628,0.20204035626280387,p>0.051,NA
PMeOH 30:1,0.35522315218091227,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.6530718880287694,3.611897348002556,0.553,0.2572748686953017,p>0.051,NA
PMeOH 32:2,0.0673897032582278,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.15586147980103499,3.7323323620566904,0.884,0.05354773498692691,p>0.051,NA
PMeOH 34:2,-0.05776567922560872,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.08272612135743905,3.811692815187039,0.938,0.027797161620935564,p>0.051,NA
TG 14:0_14:0_16:0,0.1943442652040643,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.9483958761693292,3.7226269753234105,0.128,0.8927900303521317,p>0.051,NA
TG 14:0_15:0_16:0,-0.4517303808065913,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,2.05167239390693,3.1158247812169995,0.129,0.889410289700751,p>0.051,NA
TG 14:0_16:0_16:0,-0.05502186993616675,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.2667706157386863,3.989123461983326,0.803,0.09528445472131904,p>0.051,NA
TG 14:0_16:0_17:0,0.7870795135507651,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.7015985593671883,3.9975643070958045,0.164,0.7851561519523022,p>0.051,NA
TG 15:0_16:0_16:1,0.33494779340285424,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.712053495476882,3.3852803596935086,0.522,0.28232949699773785,p>0.051,NA
TG 15:0_16:0_17:0,-0.1789811917695454,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.0551742283298404,3.936186654772353,0.352,0.453457336521869,p>0.051,NA
TG 16:0_16:0_18:1,-0.13638470469026576,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.467963993878832,3.7226987184707356,0.666,0.17652577082969892,p>0.051,NA
TG 16:0_16:1_16:1,-0.6287505128562769,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.9299303897544418,3.5455378394286865,0.411,0.38615817812393083,p>0.051,NA
TG 16:0_16:1_18:1,-0.0467989737825235,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.1416850246440326,2.8276434926762533,0.897,0.047207556955907906,p>0.051,NA
TG 16:0_17:0_18:0,0.010260578006662713,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.029979323266794932,3.84189857816255,0.978,0.009661145212398569,p>0.051,NA
TG 16:0_17:0_18:1,-0.2947552642848375,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.1950558065201489,3.941868878249292,0.299,0.5243288116755703,p>0.051,NA
TG 16:0_18:0_18:1,-0.31446730179884363,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.2492706872161625,3.5936011363512987,0.287,0.5421181032660077,p>0.051,NA
TG 18:0_18:1_18:1,-0.24215298158590542,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.6723702033443992,3.85219693490819,0.54,0.26760624017703144,p>0.051,NA
TG 18:1_18:1_18:2,-0.5211531730726315,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,5.8153990601185725,2.675820854329906,0.0138,1.8601209135987635,Decreased,TG
TG 18:1_18:2_18:2,-0.18206027255956456,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.0974240307088547,3.386986114397076,0.344,0.46344155742846993,p>0.051,NA
