Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
PG 30:1,-0.14712299856613387,signal,0.28 OsM,1.02 OsM,3,3,0.5357275907908148,3.94839437229576,0.621,0.20690839982341983,p>0.051,NA
PG 31:0,-0.26219751652216955,signal,0.28 OsM,1.02 OsM,3,3,1.7355253446776722,2.038985104833453,0.222,0.6536470255493614,p>0.051,NA
PG 31:1,-0.9487117167664175,signal,0.28 OsM,1.02 OsM,3,3,5.265453982182072,2.0834514051922692,0.0314,1.5030703519267852,Decreased,PG
PG 32:0,1.419378446214437,signal,0.28 OsM,1.02 OsM,3,3,-11.433961632897843,3.5190755069257835,6.59e-4,3.1811145854059903,Increased,PG
PG 32:1,-0.3321299813945165,signal,0.28 OsM,1.02 OsM,3,3,1.9068035272454305,2.2588837886413575,0.182,0.7399286120149252,p>0.051,NA
PG 37:2,0.7687423809434036,signal,0.28 OsM,1.02 OsM,3,3,-3.0664675114613464,2.6623836082153325,0.0639,1.1944991418415998,p>0.051,NA
PMeOH 14:0_16:0,0.4686542636393998,signal,0.28 OsM,1.02 OsM,3,3,-1.1914854156577166,2.573563875347393,0.332,0.4788619162959637,p>0.051,NA
PMeOH 16:0_16:0,0.6031132587899308,signal,0.28 OsM,1.02 OsM,3,3,-1.3207296856187711,3.964513939401826,0.258,0.5883802940367698,p>0.051,NA
PMeOH 16:0_16:1,-0.2336867881362644,signal,0.28 OsM,1.02 OsM,3,3,0.7981861807936095,2.5919503143724576,0.491,0.3089185078770315,p>0.051,NA
PMeOH 16:0_17:1,2.361491652311962,signal,0.28 OsM,1.02 OsM,3,3,-4.504889705427308,2.0792100553916595,0.0427,1.3695721249749762,Increased,PMeOH
PMeOH 16:0_18:1,0.9604686172341781,signal,0.28 OsM,1.02 OsM,3,3,-1.00588553163561,2.5158280247363645,0.401,0.39685562737981767,p>0.051,NA
PMeOH 16:1_17:1,1.017890843199975,signal,0.28 OsM,1.02 OsM,3,3,-2.708582761451131,2.181535542687252,0.103,0.9871627752948278,p>0.051,NA
PMeOH 16:1_18:1,-0.7630979055860597,signal,0.28 OsM,1.02 OsM,3,3,3.7017601611387434,3.9325174884398306,0.0214,1.6695862266508092,Decreased,PMeOH
PMeOH 17:1_18:1,2.194627251598828,signal,0.28 OsM,1.02 OsM,3,3,-4.9909199807572895,2.343461786090445,0.0271,1.5670307091255944,Increased,PMeOH
PMeOH 18:1_18:1,0.6348478674896094,signal,0.28 OsM,1.02 OsM,3,3,-5.606849679079322,3.746343500622717,0.00603,2.219682687859849,Increased,PMeOH
PMeOH 30:1,0.3338944167478883,signal,0.28 OsM,1.02 OsM,3,3,-0.8265504277319379,3.6882030587358754,0.459,0.33818731446273875,p>0.051,NA
PMeOH 32:2,-0.5779557936638107,signal,0.28 OsM,1.02 OsM,3,3,1.8434704452849453,3.248850744375942,0.155,0.8096683018297085,p>0.051,NA
PMeOH 34:2,-0.3621716797214413,signal,0.28 OsM,1.02 OsM,3,3,0.9648866125839516,3.157620016418864,0.403,0.39469495385889053,p>0.051,NA
TG 14:0_14:0_16:0,1.1845713727478837,signal,0.28 OsM,1.02 OsM,3,3,-4.166686336557864,2.3566029258363366,0.0397,1.401209493236885,Increased,TG
TG 14:0_15:0_16:0,0.9959263481818652,signal,0.28 OsM,1.02 OsM,3,3,-1.857919828288026,2.291683398832781,0.188,0.7258421507363202,p>0.051,NA
TG 14:0_16:0_16:0,1.1856554644895012,signal,0.28 OsM,1.02 OsM,3,3,-5.844289023961894,3.6904600836552275,0.00547,2.262012673666569,Increased,TG
TG 14:0_16:0_17:0,1.5992598945337915,signal,0.28 OsM,1.02 OsM,3,3,-1.5407293407510598,2.145836691247329,0.255,0.5934598195660449,p>0.051,NA
TG 15:0_16:0_16:1,0.9107191137986661,signal,0.28 OsM,1.02 OsM,3,3,-2.9701466427360352,3.9657165954612426,0.0416,1.3809066693732572,Increased,TG
TG 15:0_16:0_17:0,1.0530789404304375,signal,0.28 OsM,1.02 OsM,3,3,-5.109716388343192,3.6047593473457704,0.00913,2.039529222465701,Increased,TG
TG 16:0_16:0_18:1,0.9346049191666331,signal,0.28 OsM,1.02 OsM,3,3,-3.022534903325046,3.302975748310804,0.05,1.3010299956639813,Increased,TG
TG 16:0_16:1_16:1,1.4012961301991655,signal,0.28 OsM,1.02 OsM,3,3,-1.9981302292073848,2.930482481244228,0.142,0.8477116556169435,p>0.051,NA
TG 16:0_16:1_18:1,1.0197364751544093,signal,0.28 OsM,1.02 OsM,3,3,-1.722743238232428,2.7180026561352637,0.193,0.7144426909922262,p>0.051,NA
TG 16:0_17:0_18:0,0.8239881920291322,signal,0.28 OsM,1.02 OsM,3,3,-3.1028282933854565,2.3945233697959036,0.0716,1.1450869776921444,p>0.051,NA
TG 16:0_17:0_18:1,0.9914823870072701,signal,0.28 OsM,1.02 OsM,3,3,-4.701224636346747,3.9389478148319426,0.00965,2.0154726866562074,Increased,TG
TG 16:0_18:0_18:1,1.1112788389131085,signal,0.28 OsM,1.02 OsM,3,3,-3.4636780634384365,2.000334340978546,0.0742,1.1295960947209729,p>0.051,NA
TG 18:0_18:1_18:1,0.9881831736788194,signal,0.28 OsM,1.02 OsM,3,3,-2.765645972971377,3.9155697812477137,0.0518,1.285670240254767,p>0.051,NA
TG 18:1_18:1_18:2,0.8461642244605736,signal,0.28 OsM,1.02 OsM,3,3,-2.8493731553194057,2.1762656752107796,0.0947,1.0236500209967265,p>0.051,NA
TG 18:1_18:2_18:2,1.0309526752029363,signal,0.28 OsM,1.02 OsM,3,3,-3.5266805335845643,3.211014216153141,0.0347,1.4596705252091262,Increased,TG
TG 44:0,1.2218219725200876,signal,0.28 OsM,1.02 OsM,3,3,-4.081279834767758,2.7043348271265457,0.0323,1.490797477668897,Increased,TG
TG 45:0,0.9959263481818652,signal,0.28 OsM,1.02 OsM,3,3,-1.857919828288026,2.291683398832781,0.188,0.7258421507363202,p>0.051,NA
TG 45:1,1.5048594788767977,signal,0.28 OsM,1.02 OsM,3,3,-2.854775989830137,3.92940082148963,0.0471,1.3269790928711038,Increased,TG
TG 46:0,1.41268255000033,signal,0.28 OsM,1.02 OsM,3,3,-2.163291199077344,2.5504031464892924,0.135,0.8696662315049939,p>0.051,NA
TG 46:2,1.0572182434322595,signal,0.28 OsM,1.02 OsM,3,3,-2.587990141871312,3.5552040199445694,0.0684,1.1649438982798836,p>0.051,NA
TG 47:0,1.3219745190270176,signal,0.28 OsM,1.02 OsM,3,3,-2.9364911551236883,2.1435216720431565,0.0913,1.0395292224657011,p>0.051,NA
TG 47:1,0.6302042921379465,signal,0.28 OsM,1.02 OsM,3,3,-1.1278360644827647,2.6509718925705137,0.351,0.4546928835341759,p>0.051,NA
TG 49:0,1.3024818244456289,signal,0.28 OsM,1.02 OsM,3,3,-6.247813855213381,2.2110750857720394,0.0192,1.7166987712964503,Increased,TG
TG 49:1,1.0222929135903374,signal,0.28 OsM,1.02 OsM,3,3,-2.9302625281041363,3.4905497844599793,0.0506,1.295849483160201,Increased,TG
TG 52:1,1.1187152657129995,signal,0.28 OsM,1.02 OsM,3,3,-3.5959898759043023,2.00011874513919,0.0694,1.158640529545145,p>0.051,NA
TG 52:3,1.0849064027710886,signal,0.28 OsM,1.02 OsM,3,3,-5.007124539739853,2.0612501372322374,0.0354,1.4509967379742121,Increased,TG
TG 52:4,1.3597081998537015,signal,0.28 OsM,1.02 OsM,3,3,-4.653791343784467,2.8526414008195213,0.0209,1.679853713888946,Increased,TG
TG 53:2,1.1594351890298507,signal,0.28 OsM,1.02 OsM,3,3,-2.3056221336083143,2.088589068911526,0.142,0.8477116556169435,p>0.051,NA
TG 54:1,1.0596366912934414,signal,0.28 OsM,1.02 OsM,3,3,-2.315191519668589,2.407064054147084,0.125,0.9030899869919435,p>0.051,NA
