Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
TG 16:0_18:0_18:1,-0.2321209654636988,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,1.0550590315973483,2.0018918624106052,0.402,0.3957739469155299,p>0.051,NA
TG 18:0_18:1_18:1,-0.2001972304485925,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.46397975969306393,3.4858834145206368,0.67,0.17392519729917355,p>0.051,NA
TG 18:1_18:1_18:2,-0.4537296748016558,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,4.360110120799842,2.6081517862371584,0.0296,1.5287082889410615,Decreased,TG
TG 18:1_18:2_18:2,-0.13187331262980484,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.5391536311695801,2.7314126033529185,0.631,0.19997064075586568,p>0.051,NA
TG 44:0,0.308225012222181,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.698873754971216,2.7629756087151947,0.196,0.707743928643524,p>0.051,NA
TG 45:0,-0.6238891432218708,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,2.380339493276023,2.4418985708538608,0.117,0.9318141382538383,p>0.051,NA
TG 45:1,0.8788823338439473,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.1369943921005181,3.9267161372191866,0.32,0.494850021680094,p>0.051,NA
TG 46:0,0.432268906914632,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.6998762087870642,3.407916657652757,0.529,0.2765443279648142,p>0.051,NA
TG 46:2,0.023817854888589066,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.06764505444727288,2.2954048760619608,0.952,0.021363051615525673,p>0.051,NA
TG 47:0,0.42690107327502386,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.4603720914579765,2.7493961110508582,0.248,0.6055483191737837,p>0.051,NA
TG 47:1,0.1138861855656516,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.15768468106648503,3.226715222640708,0.884,0.05354773498692691,p>0.051,NA
TG 49:0,0.3137779556777445,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-1.1867083711401951,2.281527346729301,0.344,0.46344155742846993,p>0.051,NA
TG 49:1,-0.09209283419758442,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.2720544177056278,3.248277441071654,0.802,0.09582563171583647,p>0.051,NA
TG 52:1,-0.23738014939039542,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,1.0792593783196045,2.0006378767422808,0.393,0.4056074496245733,p>0.051,NA
TG 52:3,0.0747959343442226,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.4405362280746613,2.218068966450486,0.699,0.15552282425431863,p>0.051,NA
TG 52:4,-0.07223005127970947,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,0.2633169874333561,3.838951956116299,0.806,0.09366495819490933,p>0.051,NA
TG 53:2,0.21836235818822045,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.43382367289320717,2.182596776690241,0.704,0.1524273408578878,p>0.051,NA
TG 54:1,0.02372912700387524,signal,0.28 OsM,1.02 OsM + 1mM GB,3,3,-0.08105094705534721,3.9979479896106205,0.939,0.027334407733889104,p>0.051,NA
